Impact Category,Measure,Positive Impact (%),Negative Impact (%)
Mental Health,Increased awareness on issues,75,25
Mental Health,Anxiety and depression,20,80
Productivity,Better professional networking,70,30
Productivity,Distraction and procrastination,30,70
Social Connections,Stay connected with family,85,15
Social Connections,Superficial relationships,40,60
Self-Esteem,Boosted self-expression,65,35
Self-Esteem,Comparison-induced stress,25,75
Privacy,Easier access to information,80,20
Privacy,Data security issues,15,85
Time Spent,Socializing and learning,55,45
Time Spent,Wasted on unnecessary content,35,65
